post_id,question_id,source,agent_version,question_type,question_title,timestamp,retrodict_date,probability,median,ci_lower,ci_upper,resolution,resolved,brier,log_score,abs_error,norm_error,within_ci,duration_seconds,cost_usd
40497,40058,retrodict,0.3.1,binary,Will the community prediction be higher than 6.00% on 2025-11-05 for the Metacul,20260211_025917,2025-10-28,0.35,,,,no,True,0.122500,0.430783,,,,,
40497,40058,retrodict,0.3.1,binary,Will the community prediction be higher than 6.00% on 2025-11-05 for the Metacul,20260211_054032,2025-10-28,0.4,,,,no,True,0.160000,0.510826,,,,,
41041,40746,retrodict,0.3.1,binary,Will the community prediction be higher than 10.00% on 2025-12-21 for the Metacu,20260211_024319,2025-12-09,0.35,,,,no,True,0.122500,0.430783,,,,,
41041,40746,retrodict,0.3.1,binary,Will the community prediction be higher than 10.00% on 2025-12-21 for the Metacu,20260211_052303,2025-12-09,0.35,,,,no,True,0.122500,0.430783,,,,,
41268,40976,retrodict,0.4.0,binary,Will ALL's market close price on 2025-12-27 be higher than its market close pric,20260211_085740,2025-12-24,0.52,,,,no,True,0.270400,0.733969,,,,,
41387,41102,retrodict,0.3.1,binary,Will the community prediction be higher than 9.00% on 2026-01-14 for the Metacul,20260211_071402,2026-01-05,0.43,,,,yes,True,0.324900,0.843970,,,,,
41387,41102,retrodict,0.7.2,binary,Will the community prediction be higher than 9.00% on 2026-01-14 for the Metacul,20260213_050800,2026-01-05,0.1,,,,yes,True,0.810000,2.302585,,,,,
41387,41102,retrodict,0.7.3,binary,Will the community prediction be higher than 9.00% on 2026-01-14 for the Metacul,20260213_072054,2026-01-05,0.18,,,,yes,True,0.672400,1.714798,,,,,
41387,41102,retrodict,0.8.1,binary,Will the community prediction be higher than 9.00% on 2026-01-14 for the Metacul,20260213_075129,2026-01-05,0.3,,,,yes,True,0.490000,1.203973,,,,,
41387,41102,retrodict,0.8.1,binary,Will the community prediction be higher than 9.00% on 2026-01-14 for the Metacul,20260213_103500,2026-01-05,0.09,,,,yes,True,0.828100,2.407946,,,,,
41387,41102,retrodict,0.8.1,binary,Will the community prediction be higher than 9.00% on 2026-01-14 for the Metacul,20260213_115927,2026-01-05,0.55,,,,yes,True,0.202500,0.597837,,,,,
41387,41102,retrodict,0.9.1,binary,Will the community prediction be higher than 9.00% on 2026-01-14 for the Metacul,20260213_133024,2026-01-05,0.33,,,,yes,True,0.448900,1.108663,,,,,
41387,41102,retrodict,0.10.0,binary,Will the community prediction be higher than 9.00% on 2026-01-14 for the Metacul,20260213_211749,2026-01-05,0.4,,,,yes,True,0.360000,0.916291,,,,,
41387,41102,retrodict,1.0.0,binary,Will the community prediction be higher than 9.00% on 2026-01-14 for the Metacul,20260214_070036,2026-01-05,0.55,,,,yes,True,0.202500,0.597837,,,,,
41387,41102,retrodict,1.1.0,binary,Will the community prediction be higher than 9.00% on 2026-01-14 for the Metacul,20260214_081145,2026-01-05,0.35,,,,yes,True,0.422500,1.049822,,,,,
41388,41103,retrodict,0.3.1,numeric,"What will be the value of ""30-Day Average SOFR"" on 2026-01-14?",20260211_073704,2026-01-05,None,3.705,3.66,3.75,3.70668,True,,,0.0017,0.0373,True,,
41391,41106,retrodict,0.3.1,binary,Will the community prediction be higher than 33.30% on 2026-01-16 for the Metacu,20260211_070935,2026-01-05,0.7,,,,no,True,0.490000,1.203973,,,,,
41391,41106,retrodict,0.6.0,binary,Will the community prediction be higher than 33.30% on 2026-01-16 for the Metacu,20260213_005432,2026-01-05,0.75,,,,,False,,,,,,,
41391,41106,retrodict,0.7.2,binary,Will the community prediction be higher than 33.30% on 2026-01-16 for the Metacu,20260213_050022,2026-01-05,0.82,,,,no,True,0.672400,1.714798,,,,,
41391,41106,retrodict,0.8.1,binary,Will the community prediction be higher than 33.30% on 2026-01-16 for the Metacu,20260213_075759,2026-01-05,0.4,,,,no,True,0.160000,0.510826,,,,,
41391,41106,retrodict,0.9.1,binary,Will the community prediction be higher than 33.30% on 2026-01-16 for the Metacu,20260213_134123,2026-01-05,0.58,,,,no,True,0.336400,0.867501,,,,,
41391,41106,retrodict,0.10.0,binary,Will the community prediction be higher than 33.30% on 2026-01-16 for the Metacu,20260213_212352,2026-01-05,0.85,,,,no,True,0.722500,1.897120,,,,,
41391,41106,retrodict,1.0.0,binary,Will the community prediction be higher than 33.30% on 2026-01-16 for the Metacu,20260214_071340,2026-01-05,0.55,,,,no,True,0.302500,0.798508,,,,,
41404,41119,retrodict,0.3.1,binary,Will the community prediction be higher than 65.00% on 2026-01-15 for the Metacu,20260211_071952,2026-01-06,0.48,,,,no,True,0.230400,0.653926,,,,,
41406,41121,retrodict,0.3.1,numeric,"What will be the value of ""Coinbase Bitcoin"" on 2026-01-14?",20260211_074205,2026-01-06,None,93500.0,86000.0,101500.0,96852.91,True,,,3352.9100,0.4326,True,,
41406,41121,retrodict,0.7.2,numeric,"What will be the value of ""Coinbase Bitcoin"" on 2026-01-14?",20260213_052938,2026-01-06,None,94550.0,87600.0,102100.0,96852.91,True,,,2302.9100,0.3176,True,,
41406,41121,retrodict,0.8.1,numeric,"What will be the value of ""Coinbase Bitcoin"" on 2026-01-14?",20260213_080249,2026-01-06,None,95100.0,86600.0,104300.0,96852.91,True,,,1752.9100,0.1981,True,,
41406,41121,retrodict,0.9.1,numeric,"What will be the value of ""Coinbase Bitcoin"" on 2026-01-14?",20260213_134332,2026-01-06,None,94750.0,88500.0,102000.0,96852.91,True,,,2102.9100,0.3115,True,,
41406,41121,retrodict,0.10.0,numeric,"What will be the value of ""Coinbase Bitcoin"" on 2026-01-14?",20260213_212607,2026-01-06,None,94700.0,87200.0,102300.0,96852.91,True,,,2152.9100,0.2852,True,,
41406,41121,retrodict,1.0.0,numeric,"What will be the value of ""Coinbase Bitcoin"" on 2026-01-14?",20260214_071543,2026-01-06,None,94850.0,90150.0,99800.0,96852.91,True,,,2002.9100,0.4151,True,,
41414,41129,retrodict,0.3.1,binary,Will COF's market close price on 2026-01-14 be higher than its market close pric,20260211_072816,2026-01-06,0.54,,,,no,True,0.291600,0.776529,,,,,
41415,41130,retrodict,0.3.1,binary,Will the community prediction be higher than 9.00% on 2026-01-15 for the Metacul,20260211_071708,2026-01-06,0.52,,,,yes,True,0.230400,0.653926,,,,,
41417,41132,retrodict,0.3.1,binary,Will VICI's market close price on 2026-01-16 be higher than its market close pri,20260211_072537,2026-01-06,0.49,,,,yes,True,0.260100,0.713350,,,,,
41417,41132,retrodict,0.7.2,binary,Will VICI's market close price on 2026-01-16 be higher than its market close pri,20260213_052544,2026-01-06,0.47,,,,yes,True,0.280900,0.755023,,,,,
41417,41132,retrodict,0.9.1,binary,Will VICI's market close price on 2026-01-16 be higher than its market close pri,20260213_134445,2026-01-06,0.49,,,,yes,True,0.260100,0.713350,,,,,
41417,41132,retrodict,0.10.0,binary,Will VICI's market close price on 2026-01-16 be higher than its market close pri,20260213_212745,2026-01-06,0.5,,,,yes,True,0.250000,0.693147,,,,,
41419,41134,retrodict,0.3.1,numeric,"What will be the value of ""Market Yield on U.S. Treasury Securities at 1-Year Co",20260211_073919,2026-01-06,None,3.475,3.42,3.53,3.5,True,,,0.0250,0.4545,True,,
41419,41134,retrodict,0.7.2,numeric,"What will be the value of ""Market Yield on U.S. Treasury Securities at 1-Year Co",20260213_053033,2026-01-06,None,3.5,3.49,3.51,3.5,True,,,0.0000,0.0000,True,,
41419,41134,retrodict,0.9.1,numeric,"What will be the value of ""Market Yield on U.S. Treasury Securities at 1-Year Co",20260213_134533,2026-01-06,None,3.5,3.49,3.51,3.5,True,,,0.0000,0.0000,True,,
41419,41134,retrodict,0.10.0,numeric,"What will be the value of ""Market Yield on U.S. Treasury Securities at 1-Year Co",20260213_212928,2026-01-06,None,3.465,3.4,3.53,3.5,True,,,0.0350,0.5385,True,,
41420,41135,retrodict,0.3.1,binary,Will STE's market close price on 2026-01-15 be higher than its market close pric,20260211_072352,2026-01-06,0.52,,,,yes,True,0.230400,0.653926,,,,,
41421,41136,retrodict,0.3.1,binary,Will ERIE's market close price on 2026-01-14 be higher than its market close pri,20260211_072155,2026-01-06,0.5,,,,no,True,0.250000,0.693147,,,,,
41424,41139,retrodict,0.3.1,binary,Will the community prediction be higher than 9.00% on 2026-01-15 for the Metacul,20260211_025118,2026-01-07,0.55,,,,yes,True,0.202500,0.597837,,,,,
41424,41139,retrodict,0.3.1,binary,Will the community prediction be higher than 9.00% on 2026-01-15 for the Metacul,20260211_053224,2026-01-07,0.55,,,,yes,True,0.202500,0.597837,,,,,
41425,41140,retrodict,0.3.1,binary,Will the community prediction be higher than 11.00% on 2026-01-15 for the Metacu,20260211_024715,2026-01-07,0.55,,,,yes,True,0.202500,0.597837,,,,,
41425,41140,retrodict,0.3.1,binary,Will the community prediction be higher than 11.00% on 2026-01-15 for the Metacu,20260211_052904,2026-01-07,0.48,,,,yes,True,0.270400,0.733969,,,,,
41454,41179,retrodict,0.3.1,numeric,What will be the maximum intraday value of the VIX over these biweekly periods i,20260211_073453,2026-01-05,None,19.0,15.0,28.0,20.99,True,,,1.9900,0.3062,True,,
41454,41179,retrodict,0.7.2,numeric,What will be the maximum intraday value of the VIX over these biweekly periods i,20260213_055033,2026-01-05,None,17.5,14.5,23.0,20.99,True,,,3.4900,0.8212,True,,
41454,41179,retrodict,0.9.1,numeric,What will be the maximum intraday value of the VIX over these biweekly periods i,20260213_141141,2026-01-05,None,18.75,15.5,26.0,20.99,True,,,2.2400,0.4267,True,,
41454,41179,retrodict,0.10.0,numeric,What will be the maximum intraday value of the VIX over these biweekly periods i,20260213_213209,2026-01-05,None,19.9,15.5,29.0,20.99,True,,,1.0900,0.1615,True,,
41458,41183,retrodict,0.3.1,numeric,What will be the ending value of the ICE BofA US High Yield Option-Adjusted Spre,20260211_023132,2026-01-05,None,2.815,2.6,3.1,2.8,True,,,0.0150,0.0600,True,,
41458,41183,retrodict,0.3.1,numeric,What will be the ending value of the ICE BofA US High Yield Option-Adjusted Spre,20260211_051225,2026-01-05,None,2.8099999999999996,2.55,3.1,2.8,True,,,0.0100,0.0364,True,,
41468,41193,retrodict,0.3.1,numeric,How much will Nvidia's stock price returns exceed Apple's in these biweekly peri,20260211_022757,2026-01-05,None,0.4999999999999999,-8.5,9.5,1.09,True,,,0.5900,0.0656,True,,
41468,41193,retrodict,0.3.1,numeric,How much will Nvidia's stock price returns exceed Apple's in these biweekly peri,20260211_050951,2026-01-05,None,0.25,-8.5,8.5,1.09,True,,,0.8400,0.0988,True,,
41472,41197,retrodict,0.3.1,numeric,How much will Gold Futures total price returns exceed S&P 500 Futures's in these,20260211_022437,2026-01-05,None,0.49999999999999994,-4.0,5.0,2.8928,True,,,2.3928,0.5317,True,,
41472,41197,retrodict,0.3.1,numeric,How much will Gold Futures total price returns exceed S&P 500 Futures's in these,20260211_050618,2026-01-05,None,0.30000000000000004,-5.2,5.8,2.8928,True,,,2.5928,0.4714,True,,
41472,41197,retrodict,0.6.0,numeric,How much will Gold Futures total price returns exceed S&P 500 Futures's in these,20260213_023640,2026-01-05,None,0.25000000000000006,-4.3,4.8,,False,,,,,,,
41472,41197,retrodict,0.7.2,numeric,How much will Gold Futures total price returns exceed S&P 500 Futures's in these,20260213_052154,2026-01-05,None,-0.325,-4.2,3.9,2.8928,True,,,3.2178,0.7945,True,,
41472,41197,retrodict,0.9.1,numeric,How much will Gold Futures total price returns exceed S&P 500 Futures's in these,20260213_141706,2026-01-05,None,0.0,-5.0,5.0,2.8928,True,,,2.8928,0.5786,True,,
41472,41197,retrodict,0.10.0,numeric,How much will Gold Futures total price returns exceed S&P 500 Futures's in these,20260213_213600,2026-01-05,None,0.3,-4.2,5.0,2.8928,True,,,2.5928,0.5637,True,,
41521,41264,retrodict,0.3.1,binary,Will the UN General Assembly adopt a resolution condemning the US operation in V,20260211_023941,2026-01-11,0.45,,,,no,True,0.202500,0.597837,,,,,
41521,41264,retrodict,0.3.1,binary,Will the UN General Assembly adopt a resolution condemning the US operation in V,20260211_051931,2026-01-11,0.45,,,,no,True,0.202500,0.597837,,,,,
41521,41264,retrodict,0.7.2,binary,Will the UN General Assembly adopt a resolution condemning the US operation in V,20260213_055418,2026-01-11,0.08,,,,no,True,0.006400,0.083382,,,,,
41521,41264,retrodict,0.9.1,binary,Will the UN General Assembly adopt a resolution condemning the US operation in V,20260213_142614,2026-01-11,0.22,,,,no,True,0.048400,0.248461,,,,,
41521,41264,retrodict,0.10.0,binary,Will the UN General Assembly adopt a resolution condemning the US operation in V,20260213_214913,2026-01-11,0.22,,,,no,True,0.048400,0.248461,,,,,
41537,41278,retrodict,0.3.1,numeric,What will the first reported revenues after December 2025 be for the following c,20260211_022136,2026-01-12,None,81100000000.0,78500000000.0,83500000000.0,81300000000.0,True,,,200000000.0000,0.0800,True,,
41537,41278,retrodict,0.3.1,numeric,What will the first reported revenues after December 2025 be for the following c,20260211_050228,2026-01-12,None,80500000000.0,78500000000.0,82500000000.0,81300000000.0,True,,,800000000.0000,0.4000,True,,
41538,41279,retrodict,0.3.1,numeric,What will the first reported earnings per share after December 2025 be for the f,20260211_021514,2026-01-12,None,3.875,3.68,4.07,5.16,True,,,1.2850,6.5897,False,,
41538,41279,retrodict,0.3.1,numeric,What will the first reported earnings per share after December 2025 be for the f,20260211_045911,2026-01-12,None,3.87,3.55,4.2,5.16,True,,,1.2900,3.9692,False,,
41538,41279,retrodict,0.7.2,numeric,What will the first reported earnings per share after December 2025 be for the f,20260213_051527,2026-01-12,None,3.8499999999999996,3.55,4.1,5.16,True,,,1.3100,4.7636,False,,
41538,41279,retrodict,0.9.1,numeric,What will the first reported earnings per share after December 2025 be for the f,20260213_143415,2026-01-12,None,3.9095000000000004,3.3,4.25,5.16,True,,,1.2505,2.6326,False,,
41538,41279,retrodict,0.10.0,numeric,What will the first reported earnings per share after December 2025 be for the f,20260213_215604,2026-01-12,None,3.88,3.68,4.05,5.16,True,,,1.2800,6.9189,False,,
41540,41281,retrodict,0.3.1,numeric,What will Alphabet's Q4 2025 constant-currency revenues be in these global regio,20260211_020949,2026-01-14,None,18750000000.0,17500000000.0,20300000000.0,18703000000.0,True,,,47000000.0000,0.0336,True,,
41540,41281,retrodict,0.3.1,numeric,What will Alphabet's Q4 2025 constant-currency revenues be in these global regio,20260211_045413,2026-01-14,None,18850000000.0,17800000000.0,19800000000.0,18703000000.0,True,,,147000000.0000,0.1470,True,,
41569,41305,live,,numeric,"What will be the closing value of the S&P 500 on March 13, 2026?",20260202_153502,,None,7012.5,6475.0,7555.0,,False,,,,,,,
41835,41571,live,,binary,"Will the US government enter a shutdown before February 1, 2026?",20260204_171513,,0.97,,,,yes,True,0.000900,0.030459,,,,,
41840,41576,live,,numeric,"What will the seasonally adjusted unemployment rate be in Australia, for the fol",20260203_080404,,None,4.15,3.9,4.5,,False,,,,,,,
41841,41577,live,,discrete,What will the United States score on the 2025 Corruption Perceptions Index?,20260203_233213,,None,61.0,57.0,65.0,,False,,,,,,,
41842,41578,live,,numeric,What will be the seasonally adjusted S&P/Case-Shiller US National Home Price Ind,20260204_023857,,None,332.04999999999995,330.0,333.8,,False,,,,,,,
41843,41579,live,,numeric,By how much will carbon dioxide emissions change from ground transportation glob,20260204_092046,,None,17.0,8.0,28.0,,False,,,,,,,
41844,41580,live,,binary,Will 95% or more of Nigerians have a bank account before 2025?,20260205_195246,,0.01,,,,,False,,,,,,,
41845,41581,live,,numeric,What will be the total median number of global under-5 child deaths reported in ,20260205_213641,,None,4.65,4.48,4.85,,False,,,,,,,
41846,41582,live,,binary,"Will there be a successful coup in Africa or Latin America before March 1, 2026?",20260206_134616,,0.3,,,,,False,,,,,,,
41848,41584,live,,binary,"Before March 1, 2026, will Meta settle the lawsuit brought by state attorneys ge",20260207_111431,None,0.03,,,,,False,,,,,,,
41849,41585,live,,binary,Will OpenAI file an initial registration statement (S-1) with the SEC to launch ,20260207_164553,None,0.03,,,,,False,,,,,,,
41851,41587,live,,binary,Will a nuclear weapon be detonated in or above a European Union state before the,20260208_074232,None,0.01,,,,,False,,,,,,,
41852,41588,live,,numeric,How many vehicles will Tesla report producing in 2025?,20260209_063439,None,None,1654500.0,1640000.0,1670000.0,,False,,,,,,,
41853,41589,live,,binary,"Will Arizona Senator Mark Kelly, who urged troops to defy ""illegal"" orders, be r",20260209_071844,None,0.02,,,,,False,,,,,,,
41856,41592,live,0.3.1,binary,"Will the US House of Representatives censure, expel or reprimand any of its memb",20260211_061947,None,0.99,,,,,False,,,,,,,
41858,41594,live,0.5.0,binary,"Will the United States, Russia or China detonate a nuclear device before April 1",20260212_032614,None,0.01,,,,,False,,,,,,,
41859,41595,live,0.5.0,numeric,"What will inflation in the UK be, given Liz Truss wins the Conservative Party le",20260213_091132,None,None,3.855,3.75,3.95,,False,,,,,,,
41892,41630,retrodict,1.1.0,binary,Will the Liberal Democratic Party win a majority in the 2026 Japanese general el,20260215_120420,2026-02-01,0.6,,,,yes,True,0.160000,0.510826,,,,,
41894,41632,live,,discrete,How many Oscars will Sinners win at the 2026 Academy Awards?,20260202_164800,,None,4.8,0.0,11.0,,False,,,,,,,
41895,41633,live,,discrete,How many runs will be scored in the knockout stage of the 2026 World Baseball Cl,20260204_164935,,None,65.0,42.0,92.0,,False,,,,,,,
41903,41903,live,,binary,"Will Russia and Ukraine sign a ceasefire agreement before May 1, 2026?",20260201_155615,,0.18,,,,,False,,,,,,,
41906,41644,live,,binary,Will the Trump administration initiate another process to significantly reduce f,20260202_002119,,0.88,,,,,False,,,,,,,
41907,41645,live,,numeric,How many vehicles will Tesla deliver globally in Q1 2026?,20260202_040617,,None,345000.0,290000.0,405000.0,,False,,,,,,,
41908,41646,live,,binary,"Will the WHO Director-General declare a PHEIC for H5N1 before May 1, 2026?",20260202_174657,,0.06,,,,,False,,,,,,,
41909,41647,live,,numeric,What will be the reported Q1 2026 global revenue for Mounjaro?,20260202_191145,,None,6900000000.0,5500000000.0,8700000000.0,,False,,,,,,,
41910,41648,live,,numeric,What will be Namibia's annual inflation rate for March 2026?,20260202_233824,,None,3.5,2.5,5.2,,False,,,,,,,
41935,41676,live,,numeric,"[Short fuse] What will be the Rotten Tomatoes Rating for ""Melania"" on February 1",20260201_232610,,None,9.0,5.0,18.0,11.0,True,,,2.0000,0.3077,True,,
41935,41676,retrodict,1.1.0,numeric,"[Short fuse] What will be the Rotten Tomatoes Rating for ""Melania"" on February 1",20260215_121422,2026-02-01,None,10.0,5.0,19.0,11.0,True,,,1.0000,0.1429,True,,
41955,41694,live,,binary,Will the community prediction be higher than 26.00% on 2026-02-15 for the Metacu,20260202_102713,,0.7,,,,,False,,,,,,,
41956,41695,live,,binary,Will UHS's market close price on 2026-02-14 be higher than its market close pric,20260202_102434,,0.52,,,,yes,True,0.230400,0.653926,,,,,
41957,41696,live,,numeric,"What will be the value of ""ICE BofA US High Yield Index Total Return Index Value",20260202_111109,,None,1877.5,1840.0,1908.0,,False,,,,,,,
41958,41697,live,,binary,Will SMCI's market close price on 2026-02-14 be higher than its market close pri,20260202_113407,,0.48,,,,yes,True,0.270400,0.733969,,,,,
41959,41698,live,,multiple_choice,Will the interest in “laken riley” change between 2026-02-02 and 2026-02-15 acco,20260202_120354,,None,,,,,False,,,,,,,
41960,41699,live,,binary,Will BAC's market close price on 2026-02-15 be higher than its market close pric,20260202_120029,,0.51,,,,,False,,,,,,,
41961,41700,live,,numeric,"What will be the value of ""Market Yield on U.S. Treasury Securities at 5-Year Co",20260202_115723,,None,3.79,3.57,4.01,3.7,True,,,0.0900,0.4091,True,,
41961,41700,retrodict,1.1.0,numeric,"What will be the value of ""Market Yield on U.S. Treasury Securities at 5-Year Co",20260215_121648,2026-02-02,None,3.84,3.73,3.95,3.7,True,,,0.1400,1.2727,False,,
41962,41701,live,,numeric,"What will be the value of ""Nikkei Stock Average, Nikkei 225"" on 2026-02-13?",20260202_124808,,None,54525.0,49500.0,58900.0,56941.97,True,,,2416.9700,0.5142,True,,
41963,41702,live,,binary,Will the community prediction be higher than 34.00% on 2026-02-15 for the Metacu,20260202_131130,,0.72,,,,,False,,,,,,,
41964,41703,live,,numeric,"What will be the value of ""Market Yield on U.S. Treasury Securities at 3-Month C",20260202_133807,,None,3.665,3.52,3.82,3.69,True,,,0.0250,0.1667,True,,
41965,41704,live,,multiple_choice,Will the interest in “government shutdown 2026” change between 2026-02-02 and 20,20260202_133505,,None,,,,Decreases,True,,0.916291,,,,,
41965,41704,retrodict,1.1.0,multiple_choice,Will the interest in “government shutdown 2026” change between 2026-02-02 and 20,20260215_122259,2026-02-02,None,,,,Decreases,True,,0.198451,,,,,
41966,41705,live,,binary,Will AAPL's market close price on 2026-02-15 be higher than its market close pri,20260202_140129,,0.47,,,,no,True,0.220900,0.634878,,,,,
41967,41706,live,,numeric,"What will be the value of ""Nominal Broad U.S. Dollar Index"" on 2026-02-10?",20260202_142604,,None,119.0,117.31,120.71,,False,,,,,,,
41968,41707,live,,numeric,"What will be the value of ""Overnight Repurchase Agreements: Treasury Securities ",20260202_151030,,None,0.08,0.0,10.0,0.1,True,,,0.0200,0.0040,True,,
41968,41707,live,,numeric,"What will be the value of ""Overnight Repurchase Agreements: Treasury Securities ",20260202_164222,,None,0.00075,0.0,0.15,0.1,True,,,0.0993,1.3233,True,,
41968,41707,retrodict,1.1.0,numeric,"What will be the value of ""Overnight Repurchase Agreements: Treasury Securities ",20260215_122904,2026-02-02,None,0.1,0.0,0.15,0.1,True,,,0.0000,0.0000,True,,
41968,41707,retrodict,1.1.0,numeric,"What will be the value of ""Overnight Repurchase Agreements: Treasury Securities ",20260215_133612,2026-02-02,None,0.001,0.0,0.1,0.1,True,,,0.0990,1.9800,True,,
41969,41708,live,,binary,Will ALGN's market close price on 2026-02-15 be higher than its market close pri,20260202_165438,,0.55,,,,yes,True,0.202500,0.597837,,,,,
41970,41709,live,,numeric,"What will be the value of ""Crude Oil Prices: Brent - Europe"" on 2026-02-13?",20260202_165153,,None,66.25,59.0,75.0,,False,,,,,,,
41971,41710,live,,multiple_choice,Will the interest in “fafo” change between 2026-02-02 and 2026-02-15 according t,20260202_171746,,None,,,,,False,,,,,,,
41972,41711,live,,multiple_choice,Will the interest in “luigi mangione” change between 2026-02-02 and 2026-02-15 a,20260202_191517,,None,,,,,False,,,,,,,
41973,41712,live,,numeric,"What will be the value of ""ICE BofA High Yield Emerging Markets Corporate Plus I",20260202_202100,,None,3.26,3.06,3.58,annulled,False,,,,,,,
41974,41713,live,,multiple_choice,Will the interest in “amber alert” change between 2026-02-02 and 2026-02-14 acco,20260202_204434,,None,,,,annulled,True,,,,,,,
41975,41714,live,,binary,Will WDAY's market close price on 2026-02-15 be higher than its market close pri,20260202_205431,,0.48,,,,ambiguous,False,,,,,,,
41976,41715,live,,numeric,"What will be the value of ""ICE BofA Euro High Yield Index Option-Adjusted Spread",20260202_215733,,None,2.665,2.55,2.85,annulled,False,,,,,,,
41977,41716,live,,numeric,"What will be the value of ""Market Yield on U.S. Treasury Securities at 7-Year Co",20260202_222137,,None,4.01,3.85,4.18,annulled,False,,,,,,,
41978,41717,live,,multiple_choice,Will the interest in “uf” change between 2026-02-02 and 2026-02-10 according to ,20260202_224548,,None,,,,annulled,True,,,,,,,
41979,41718,live,,numeric,"What will be the value of ""NASDAQ 100 Index"" on 2026-02-12?",20260202_231400,,None,25800.0,24400.0,27300.0,24687.61,True,,,1112.3900,0.7672,True,,
41980,41719,live,,binary,Will the community prediction be higher than 60.00% on 2026-02-11 for the Metacu,20260202_230935,,0.3,,,,no,True,0.090000,0.356675,,,,,
41981,41720,live,,numeric,"What will be the value of ""Market Yield on U.S. Treasury Securities at 3-Year Co",20260203_012335,,None,3.62,3.45,3.79,3.5,True,,,0.1200,0.7059,True,,
41982,41721,live,,numeric,"What will be the value of ""Market Yield on U.S. Treasury Securities at 6-Month C",20260203_024821,,None,3.625,3.51,3.73,3.6,True,,,0.0250,0.2273,True,,
41983,41722,live,,binary,Will NOW's market close price on 2026-02-12 be higher than its market close pric,20260203_033400,,0.47,,,,no,True,0.220900,0.634878,,,,,
41984,41723,live,,binary,Will the community prediction be higher than 40.00% on 2026-02-14 for the Metacu,20260203_033100,,0.47,,,,no,True,0.220900,0.634878,,,,,
41985,41724,live,,binary,Will VRSN's market close price on 2026-02-11 be higher than its market close pri,20260203_043650,,0.48,,,,no,True,0.230400,0.653926,,,,,
41986,41725,live,,binary,Will the community prediction be higher than 26.00% on 2026-02-11 for the Metacu,20260203_092720,,0.33,,,,no,True,0.108900,0.400478,,,,,
41987,41726,live,,binary,Will the community prediction be higher than 46.00% on 2026-02-12 for the Metacu,20260203_095052,,0.78,,,,yes,True,0.048400,0.248461,,,,,
